Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
7000,6,43045,4,5,41,1832,41,0,10.25,20.5,1448,0,366.4,627.0795803,43512.60309,209.0835172,5380.625,9568.732189,26126,2,16824,5608,9289.843002,16334,119,42573,10643.25,11838.64146,26126,2,0,0,0,0,128,184,92.92600767,116.1575096,0,1448,187.3,458.866732,210558.6778,0,1,0,0,0,0,0,0,1,208.1111111,10.25,366.4,0,0,0,0,0,0,4,41,5,1832,-1,4116,1,0,0,0,0,0,0,0,0,0,VPN
63584,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1000000,1000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,4116,0,0,0,0,0,0,0,0,0,0,VPN
7000,6,93815,4,5,41,1665,41,0,10.25,20.5,1448,0,333,630.34673,18184.72526,95.93348612,11726.875,17733.86289,46828,1,62755,20918.33333,23779.38974,46828,91,46829,11707.25,13684.69389,30995,1,0,0,0,0,128,184,42.63710494,53.29638118,0,1448,170.6,453.9249081,206047.8222,0,1,0,0,0,0,0,0,1,189.5555556,10.25,333,0,0,0,0,0,0,4,41,5,1665,-1,2058,1,0,0,0,0,0,0,0,0,0,VPN
63585,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1000000,1000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2058,0,0,0,0,0,0,0,0,0,0,VPN
5353,17,119811476,34,1,10945,355,657,90,321.9117647,121.1308753,355,355,355,0,94.31483842,0.292125606,3523866.941,9293012.331,4.50E+07,2,1.18E+08,3568604.636,9433379.796,4.50E+07,2,0,0,0,0,0,0,0,0,0,272,8,0.28377916,0.008346446,90,657,323.75,117.869995,13893.33571,0,0,0,0,0,0,0,0,0,333,321.9117647,355,0,0,0,0,0,0,34,10945,1,355,-1,-1,34,0,5887718.25,2615219.556,9011009,3481402,1.92E+07,1.85E+07,4.50E+07,5734751,VPN
50563,17,118985835,41229,10548,5.54E+07,2240564,1452,80,1344.845036,347.2198571,1452,32,212.416003,333.3472806,484823.9288,435.1526381,2298.088593,48583.78287,6859956,0,1.19E+08,2886.027045,59643.19061,6860705,0,1.19E+08,11281.4862,110987.166,6860728,0,0,0,0,0,329832,84384,346.5034304,88.6492077,32,1452,1114.127158,571.5605842,326681.5014,0,0,0,0,0,0,0,0,0,1114.148676,1344.845036,212.416003,0,0,0,0,0,0,41229,55446616,10548,2240564,-1,-1,41229,0,4.51E+07,5.83E+07,8.63E+07,3862939,6168898,977303.596,6859956,5477840,VPN
9431,17,119197990,97,1,7275,75,75,75,75,0,75,75,75,0,61.6621136,0.822161515,1228845.258,926621.6535,7066716,916386,1.18E+08,1230977.24,931246.6565,7066716,916386,0,0,0,0,0,0,0,0,0,776,8,0.813772111,0.008389403,75,75,75,0,0,0,0,0,0,0,0,0,0,0,75.76530612,75,75,0,0,0,0,0,0,97,7275,1,75,-1,-1,97,0,1.10E+07,8472554.159,1.70E+07,5016672,6503053,797139.8592,7066716,5939390,VPN
443,6,96858234,9,7,296,429,74,0,32.88888889,39.00142448,74,0,61.28571429,27.04757713,7.485166413,0.165189879,6457215.6,1.12E+07,2.75E+07,127,9.68E+07,1.21E+07,1.31E+07,2.75E+07,24087,9.69E+07,1.61E+07,1.27E+07,2.76E+07,4482,0,1,0,0,288,224,0.092919307,0.072270572,0,74,47,35.80153628,1281.75,0,0,0,1,1,0,0,0,0,49.9375,32.88888889,61.28571429,0,0,0,0,0,0,9,296,7,429,-1,274,4,0,29619.75,11451.13675,46783,23274,2.42E+07,3041439.579,2.75E+07,2.16E+07,VPN
5353,17,100148250,12,1,2049,487,493,50,170.75,192.2489508,487,487,487,0,25.32245945,0.12980756,8345687.5,1.11E+07,3.45E+07,2,6.56E+07,5967124.636,7821710.256,2.66E+07,2,0,0,0,0,0,0,0,0,0,96,8,0.119822363,0.009985197,50,493,215.9285714,210.8606774,44462.22527,0,0,0,0,0,0,0,0,0,232.5384615,170.75,487,0,0,0,0,0,0,12,2049,1,487,-1,-1,12,0,6043088,7097250.562,1.11E+07,1024574,1.76E+07,1.24E+07,3.45E+07,5834666,VPN
5353,17,100045868,11,1,1931,487,493,50,175.5454545,201.4529045,487,487,487,0,24.1689142,0.119944984,9095078.909,1.76E+07,6.12E+07,1,3.88E+07,3881151,3158031.863,9012018,1,0,0,0,0,0,0,0,0,0,88,8,0.109949568,0.009995415,50,493,223.4615385,217.943653,47499.4359,0,0,0,0,0,0,0,0,0,242.0833333,175.5454545,487,0,0,0,0,0,0,11,1931,1,487,-1,-1,11,0,7528867.5,4996046.699,1.11E+07,3996129,2.12E+07,2.67E+07,6.12E+07,5732289,VPN
